linkSCN,junctionSCN,sumoEdgeID,defaultSatFlow,detIds,detRealIds,linkRef,linkOrder,phaseNum,numPhases,GroupSCN,CorridorSCN,SiteID,NumLanes
LINK004,J003,J003_L01,4700,"e1det_J003_L01_01,e1det_J003_L01_02","J003_L01_01,J003_L01_02",4,1,0,3,GRP001,x,3,2
LINK005,J003,J003_L02,4700,"e1det_J003_L02_01,e1det_J003_L02_02","J003_L02_01,J003_L02_02",5,2,2,3,GRP001,x,3,2
LINK006,J003,J003_L03,4700,"e1det_J003_L03_01,e1det_J003_L03_02","J003_L03_01,J003_L03_02",6,3,4,3,GRP001,x,3,2
LINK020,J005,J005_L01,4700,"e1det_J005_L01_01,e1det_J005_L01_02","J005_L01_01,J005_L01_02",20,1,0,4,GRP001,x,5,2
LINK021,J005,J005_L02,4700,"e1det_J005_L02_01,e1det_J005_L02_02","J005_L02_01,J005_L02_02",21,2,2,4,GRP001,x,5,2
LINK022,J005,J005_L03,4700,"e1det_J005_L03_01,e1det_J005_L03_02","J005_L03_01,J005_L03_02",22,3,4,4,GRP001,x,5,2
LINK023,J005,J005_L04,4700,"e1det_J005_L04_01,e1det_J005_L04_02","J005_L04_01,J005_L04_02",23,4,6,4,GRP001,x,5,2
LINK035,J009,J009_L01,4700,"x,x","x,x",35,1,0,4,GRP001,x,9,2
LINK036,J009,J009_L02,4700,"x,x","x,x",36,2,2,4,GRP001,x,9,2
LINK037,J009,J009_L03,4700,"x,x","x,x",37,3,4,4,GRP001,x,9,2
LINK038,J009,J009_L04,4700,"x,x","x,x",38,4,6,4,GRP001,x,9,2
LINK048,J012,J012_L01,4700,"x,x","x,x",48,1,0,4,GRP001,x,12,2
LINK049,J012,J012_L02,4700,"x,x","x,x",49,2,2,4,GRP001,x,12,2
LINK050,J012,J012_L03,4700,"x,x","x,x",50,3,4,4,GRP001,x,12,2
LINK051,J012,J012_L04,4700,"x,x","x,x",51,4,6,4,GRP001,x,12,2
LINK055,J014,J014_L01,4700,"x,x","x,x",55,1,0,4,GRP001,x,14,2
LINK056,J014,J014_L02,4700,"x,x","x,x",56,2,2,4,GRP001,x,14,2
LINK057,J014,J014_L03,4700,"x,x","x,x",57,3,4,4,GRP001,x,14,2
LINK058,J014,J014_L04,4700,"x,x","x,x",58,4,6,4,GRP001,x,14,2
LINK075,J019,J019_L01,4700,"x,x","x,x",75,1,0,4,GRP002,x,19,2
LINK076,J019,J019_L02,4700,"x,x","x,x",76,2,2,4,GRP002,x,19,2
LINK077,J019,J019_L03,4700,"x,x","x,x",77,3,4,4,GRP002,x,19,2
LINK078,J019,J019_L04,4700,"x,x","x,x",78,4,6,4,GRP002,x,19,2
